cat,label,review,sentiment,category,summary
洗发水,1,不错！618买的！好多瓶！才用了两瓶清扬的钱太划算了！赞！,正面,价格,618 买划算用了两瓶
衣服,1,弹性很好，男朋友很喜欢。物流很快，没有什特别的味道，卖家服务态度也不错，绝对好评。以后经常来这家店买。,正面,综合,弹性好物流快服务佳
平板,1,简直就是一个大手机，漂亮，买给老婆的，很喜欢,正面,综合,手机漂亮送给老婆
平板,0,售后服务太差，欠发的东西都两个月了，居然还没有发，我不问，连一个消息都不给!!!!,负面,服务,售后太差欠发两月
平板,1,不错，最爽的是有两个音箱可以听出了左右。,正面,质量,双音箱听感清晰
洗发水,0,还没用，京东现在送货速度变好慢了，体验感骤降！！而且快递员态度非常差！！常年网购，第一次碰到态度这么差的快递员，真是醉了！！我下单的时候是说要刷卡，结果到了说pos机坏了，要我给现金，我说直接*转账吧，答应了又反悔非要现金，态度非常不耐烦，好吧给现金了，还有几毛钱零钱直接不找了，钱往兜里一揣，说没零钱。几毛钱真心不算个事，可是这年头讲的就是购物体验，不求你客客气气，好歹态度平稳点吧。这一次必须要差评！！！,负面,服务,快递员态度差体验骤降
蒙牛,1,自从知道我最喜欢的牛奶是蒙牛的 就自暴自弃了,负面,综合,自暴自弃不再喜欢牛奶
洗发水,1,快递很快，服务态度好，价格实惠，还有赠品，洗了之后清香，很好用满意，一次需要还买这个牌子。,正面,综合,物流快服务好性价比高
洗发水,1,是正品哦，而且，非常好用，送的都很精致，都香香的，买了这个，不后悔丫,正面,质量,正品好用送精致
衣服,1,买大了，175，70公斤，L码的太大了，建议买小号一点，搞活动25元西藏包邮，就不再换了，还不够运费的。,负面,质量,买大了建议换小
计算机,0,原配的windows驱动盘不错，只是安装无线网卡遇到点麻烦，先用自带光盘上GE780到NE771都没有用。后来上网查找，才知道这款机器用的无线网卡是NE-766。再到网上搜索驱动，下载测试，OK！,正面,服务,驱动安装麻烦后成功解决
平板,1,挺好用的，感觉不错，速度还不错，看看视频够了,正面,综合,好用速度快
洗发水,0,一点都不好，洗了头发干的要死,负面,质量,头发洗完很干
平板,1,反应迅速，屏幕不错！现在说说别的，给大家参考一下：屏幕细长，比起苹果握感差一点，可能苹果转过来还不习惯；第二，屏幕贴膜赠送挺好，但是你就差贴上这一步？这个太不人性化了，自己贴毕竟赶不上机器的原厂！但是还是给好评！苹果已经抛弃，死贵还不怎么样，支持华为，支持国货！国货当自强啊！顺道说一句，要买青春版的还是推荐这一款，价格虽然便宜，配置和操作性还是差一大截。,正面,综合,屏幕不错但贴膜难，支持国货
衣服,0,这是我买的最差的裤子，前后幅色差严重,负面,质量,裤子色差严重
水果,0,两箱苹果坏了十四个，一个箱子都破了，只有一箱好些。,负面,质量,两箱苹果损坏破损
书籍,1,我用了两口气，把这本书读完，牺牲了午夜以后的2小时和午睡的一个多小时。对书中职场技巧和感悟，似乎没什么印象，反而是市场部的工作让我充满了好奇。还有，让我这两天一直在思考的一个问题，也就是我都有哪些梦想，显得更加需要思考了。然后，还想，啊，自己年轻的时候怎么不知道北大有这么好，否则使出吃奶的劲也要考上。和米娅比起来，原来我的朋友，女友，这么少。,中性,综合,读书感悟少，引发对梦想思考
水果,1,苹果又脆又甜，还比超市和水果店的便宜。,正面,价格,苹果又脆又甜且便宜
水果,0,火龙果太小了！特意买的大果 ，小的可怜了！菜场7元的也比这个大,负面,质量,火龙果太小不值钱
平板,0,以后再不买华为了，伤透了心?！,负面,综合,不再购买华为产品
洗发水,1,在京东买过好几次了，很想，跟我以前在超市买的用起来一样，并且超划算，实惠，好评！,正面,综合,京东购买体验好实惠
洗发水,0,晕了，去超市看了一下结果和超市的价格一样，这也算是做活动呢？,负面,价格,超市价格一样，活动无意义
衣服,1,裤子收到了，替朋友买的，朋友说质量非常好，以后会经常光顾的！大赞！,正面,质量,朋友说质量非常好
平板,1,运行速度不错 快递小哥给力,正面,物流,运行快快递好
洗发水,0,差评，绝对差评，电话也不打，货放哪也不知道，收货人没见货就敢签收,负面,服务,电话不接签收不知情
平板,0,送的礼品了？糊弄人了？,负面,服务,礼品敷衍让人不满
水果,1,正宗的烟台红富士，口感甜脆，皮薄好吃，第二次买了，很棒！,正面,质量,烟台红富士口感甜脆
水果,1,京东购物最令人感动的就是物流小哥，风雨无阻，没日没夜，为你们点赞！,正面,物流,点赞京东物流小哥
手机,1,1.铃声优美，音量较大； 2.支持关机闹铃； 3.支持群发短信； 4.按键较大，手感不错 5.屏幕显示效果不错；； 6.支持GPRS和WAP，GPRS 上网速度较快,正面,综合,铃声优美功能齐全手感好
衣服,1,这款牛仔裤真的很好，物流也快，京东上买东西就是靠谱，这个价位买到真的很不错，很休闲，男朋友很喜欢，我也很喜欢不错不错！,正面,综合,牛仔裤质量好物流快
水果,1,苹果很新鲜，个头虽然不大，但是很好吃！老公儿子和妈妈喜欢,正面,质量,苹果新鲜好吃
衣服,0,裤子怎么看起来和旧的一样啊？没有想象中的好，还特别薄,负面,质量,裤子像旧的一样
平板,1,华为平板 真的很不错 信号好 影响也好,正面,综合,华为平板信号好影响也好
酒店,1,"酒店位置稍偏,但不愧是从前的香格里拉,硬件和服务还是不错的,提供的婴儿床很棒,就是上网宽带还要收费,不太符合国际潮流",正面,综合,酒店硬件服务好但收费不合理
水果,0,差评，次日不能到就别bb，虚假！,负面,物流,次日不到虚假
水果,0,垃圾，收到后隔天就全烂了，一个都没吃上,负面,质量,收到后隔天全烂了
衣服,1,裤子不错，蛮合身的！舍友说这个质量还可以，宝贝和卖家描述的一致，不比一般的名牌差，推荐大家购买！,正面,综合,裤子合身质量好推荐
水果,1,买来送人当礼物的，朋友说说很大很好吃，而且特别爽口，拿到的时候，特别的新鲜！好评五星赞！,正面,质量,朋友说好吃新鲜
酒店,1,总体上感觉还可以，但也没有什么太突出的地方，因为才过一个月多点，实在也想不起来有什么让人印象深刻点的。,中性,综合,总体一般无明显亮点
衣服,1,裤子质量很好，棒棒哒，特别是穿到身上的感觉呢。可以说是很帅咯！！！啦啦啦，价格也不错呢，价格和裤子很匹配,正面,质量,裤子质量好，价格匹配
书籍,1,我只用四天时间就读完了这本书，这在我读书生活中是很少见的。虽然这本书从出版至今相去九年，但还是觉得新鲜，从中我也学到了很多的东西。比如国家为什么要对农产品实行保护价收购等等。当然有些观点个人认为不一定很正确，经济学家也不是全能全知的上帝。该书文字生动活泼，读起来完全不觉得深奥，是一本真正意义上的大众经济学。书的印刷质量很好，还配了几幅蛮有意思的插图，是一本好书。,正面,综合,书读得快，内容好，印刷佳
手机,1,或许许多人买手机看重的就是多彩的屏幕，而E88是4096色的STN屏幕，这也是最值得争议的地方，目前主流的PPC手机，起码都是65536色的TFT了，熊猫还用STN，有不近人意的地方，但对我来说，这也许是值得高兴的，因为STN屏幕比较省电，耗电问题一直是我比较关心的。而4096色，对于我这样不注重娱乐的人来说，其实也够了，所以这不成为问题。,中性,质量,屏幕色彩争议但省电够用
手机,1,买了它已经一年了，记得当初完全被它美妙的铃声所迷惑，才痛下决心买了个自己不熟悉的牌子。现在用了一年了，却仍没有后悔，若不仔细看，还像新的一样呢。颇大的内屏让我这近视眼受益匪浅，还可关机闹铃，满人性化的。以前老听别人埋怨翻盖机不经碰，我的它曾不幸被我摔到地上好几次，却至今安然无恙。,正面,质量,摔坏多次仍完好
酒店,1,优点：房间条件简洁、气氛温馨，住宿环境比较安静，价格比较合理，服务态度好；不足：窗户几乎与后面的房顶等高，加上没有防盗窗（网），安全感不高。,正面,综合,环境安静价格合理但缺乏安全感
洗发水,0,京东发货的人 也太不负责了吧 也不包装下 发货一个星期也没有物流信息 还是催单才有反应 买的这套洗发露有卷梳的 也没有送 收到货物的时候 盒子都破了 真心受不了,负面,物流,发货慢包装差未送赠品
平板,1,东西收到了，就是WIFF 怎么连不上？有谁能回答我啊？,负面,服务,设备无法连接求助
衣服,0,很一般很一般很一般,中性,综合,评价一般
水果,0,好小一个，不喜欢，这个价格有点贵。市场上也就5块一斤,负面,价格,嫌贵且小不喜欢
平板,0,觉得不是正品 买回来一直没用 在那放着 前两天拿出来用结果发现照相特别不自然 特别 准备拿去华为售后检修 估计是组装机 现在也退不了 认栽,负面,质量,发现拍照不自然疑似组装机
平板,0,手机套子也没有，分辨率超级底.很差劲........................................,负面,质量,手机套子无且分辨率低
洗发水,1,搞活动买很划算，没用过，买来试试,正面,价格,活动划算买来试试
衣服,1,质量不错 大小合适 面料不错 还可以,正面,质量,质量面料都不错
酒店,0,酒店实在是太久了 还有味道,负面,综合,酒店久且有异味
平板,1,物美价廉，，很好刚用，在看看,正面,综合,物美价廉很好
平板,1,货真价实，真品，发货快,正面,综合,货真价实发货快
洗发水,0,用了头皮痒，大片大片的头屑附在头皮上，不敢用了…以前超市买了都没有出现过这种情况,负面,质量,头皮发痒头屑多不敢用
平板,1,帮同事买的，原来八寸的丢了，重新买一个。,中性,物流,同事买的八寸丢了
水果,1,口感好，个头是一个人吃的分量。,正面,质量,口感好分量足
计算机,1,性价比好，酒红色适合女生用，很拉轰，键盘手感不错，屏也没坏点,正面,综合,性价比高手感好外观佳
酒店,0,酒店已经很老旧，却刚刚评上四星，就这样的酒店，不如浙江的二星水平，房间卫生间异味很重，浴巾毛巾都有水毛臭，也许是鄙视携程的客户，给的又是一间最靠楼梯的房间，我没有提出换房，觉得下次不会再住这家了，连客房的沙发凳档次都低很多，枉我以前来鞍山都订这里，便宜真正没好货，楼梯道充满澡堂子的味道，商务中心都没有，发个传真还得去销售部，房间里却布满了按摩的纸张广告，有些滑稽。电视机的节目也没有四星标准，凤凰卫视的信号断断续续，还只有图象，其它几个卫星频道也是信号奇差，基本是夹杂着大雪花，没法看；早餐也是典型的东北杂烩，与一众泳客们对坐，实在差劲。我看，一无是处吧，除了便宜，但这样的便宜，不要也罢，我要退房。还想说，评星级的评委一定都各需要一只导盲犬。黑，忒黑。强烈要求携程在鞍山多搜集几家星级酒店，以便有选择余地。,负面,综合,酒店老旧设施差异味重
计算机,0,硬盘盖和主机体之间接合不紧密(就是靠近光驱的一端)，有条由窄到宽的缝隙，感觉应该不是故意留出来散热用的。不知道对防尘有否影响。是不是模具的问题？各位的机器有这个问题么?还是我这个机器的个别问题？谢谢,负面,质量,硬盘盖与主机体缝隙过大
酒店,1,"这个酒店是离科学城最近的一家商务酒店,大堂很气派,有直接从机场到达酒店的四号快线,几次入住过A楼的房间,每次都有常住常新的感觉,这次入住还知道他们又增设了电脑房,下次来要试试,房间的宽带上网速度很快,服务特别好,最方便的一点是他们有开通酒店到科学城的穿梭巴士.以后会常住这个酒店.",正面,综合,酒店设施好服务佳方便
洗发水,0,买完就降价了20，谁负责。。。。。。。。。。。。。,负面,价格,买完降价谁负责
书籍,1,拿到书用了六天才看完。最感动的地方要数第三部风华篇了。云峥的死让我哭的稀里哗啦的。看到凤歌一夜白头又忍不住唏嘘。个人心中还是希望女主能和宇公子在一起，看到君北羽在知晓一切时那种孩子气，想要把心爱的人抢回来那种霸气，心中无奈。可是，错过就是错过了。后两部感觉有点恐怖，又是降头又是日本神兽的，我是在晚上看的，脊背都有点冷。,正面,综合,书好看但后部有点恐怖
书籍,0,看过嘟嘟和巴豆后，就觉得这本书买怨了。,负面,综合,书不值钱很失望
洗发水,1,宝贝很不错，一直信赖京东，下次还来！,正面,综合,宝贝好信赖京东
水果,0,我大概买了假的火龙果    照片上看还显大了些…… 那是真真小啊,负面,质量,买了假火龙果且偏小
洗发水,0,洗过头发有点小痒，是不是过期了。,负面,质量,洗后发痒可能过期
平板,0,太坑了吧！！昨天买的，今天就降￥*！京东垃圾！,负面,价格,价格变动太快
蒙牛,0,乜原因啊 香飘飘奶茶不买了 步步高点读机不买了 加多宝凉茶不喝了 伊利不买了 三星不买了 百雀林不买了 蒙牛不买了 爱透不买了 汤臣倍健不买了 东方树叶也不买了,负面,综合,多个品牌产品不再购买
手机,0,我的显示屏有时变色，待机时间较短，不能传送数据。,负面,质量,显示屏变色待机短
酒店,1,宾馆比较冷清，大概是五一假期变短的原故。酒店设施比较老旧，但据说在没有悦华前，这也是相当上档次的宾馆。我订的标间，卫生间比较小，房间内有专门供客人自已泡茶的茶桌及茶具，但有茶垢。环境很不错，空气很清新，住宿是在后楼，感觉很清静，只是飞机场距度假区很近，飞机来时噪音较大，总体说来还满意。武夷山的水不太容易洗东西，肥皂不易冲掉，很费劲。,正面,综合,环境清静设施老旧总体满意
衣服,1,话说是小脚，看到是直筒，真失望，穿着太难看了，,负面,质量,款式不符穿着难看
平板,1,"从mate9开始，对华为彻底改观。接着到入手m3,反复挑，荣耀平板等等，上过实体店看，体验，最后才敲定m3。",正面,综合,华为手机体验后彻底改观
酒店,0,设施很旧，但是可以用服务弥补。遗憾的是服务一般，前台不会微笑。后来住了百灵国际公寓，价格不仅便宜，服务更是好很多。需要改进。,正面,服务,设施旧但服务好需改进
平板,0,相素太低，速度也很慢,负面,质量,相素低速度慢
酒店,1,就在崇圣寺后面，酒店环境不错，但硬件设施比较陈旧。地理位置离景点近，但离市区较远，希望酒店能多为客人提供交通上的便利，比如多发班车之类的。,中性,服务,酒店环境好但设施旧，希望增加班车
酒店,0,房间隔音实在太差，不单隔壁，感觉整层都能听到。半夜被男女欢愉声吵醒，影响休息,负面,综合,隔音差影响休息
平板,1,可以可以一般般可以一般般,中性,综合,一般般可以
水果,1,很好！单果有150克左右！蛮好的！好吃！好次,正面,质量,单果重好吃
洗发水,1,清扬男士，去油效果好，洗完很清爽…一直再用……,正面,质量,去油效果好清爽
洗发水,0,东西用着跟以前买的不一样，洗发液很稀，而且不出泡沫。很失败的一次购物，一直都很信任京东， 这次定的洗发液真心不怎么样。没经过专业鉴定不能信口开河的说是假货。只能说跟以前用过的不一样，差好多！,负面,质量,洗发液稀不出泡，质量差
水果,0,包装破的，苹果好几个坏的，有的还很脏，味道特酸，个头不大歪瓜裂枣！,负面,质量,包装破损苹果坏且脏
酒店,0,"发票上打身份证信息,水单上打信用卡信息,易泄露客户隐私。",负面,服务,发票水单泄露隐私
洗发水,0,已经被打开过，瓶口已经漏出来了，和超市买的完全不一样,负面,质量,瓶口已漏，与超市不同
平板,0,手机打电话时噪声有点大，打电话给客服也说不出为啥有电流震荡的声音。京东连着两次买的东西都很失望,负面,质量,手机通话有电流声
洗发水,0,一点也不好用，每次都挤好多，涂完一点效果都没有，一点也不像护发素，怀疑买到了假的东西，差评差评！！！！！！！,负面,质量,产品无效怀疑假货
洗发水,1,一起买了两套，还以为很多，感觉挺好，用用看！,正面,综合,两套感觉挺好
衣服,0,穿着不太舒服 裤子也大了,负面,质量,裤子穿着不舒服
酒店,0,属于政府招待所，酒店设施非常一般，服务态度也不太令人满意，房间的床上用品不干净，枕套居然是有大面积油渍的，换了一个居然还是一样，床单下有很多头发，被罩上还有零星的血渍，早餐质量太差，天天一样，令人没有食欲，18元的早餐也就是喝碗粥，吃个鸡蛋。希望邯郸地区的酒店能够尽量提高质量和服务水平,负面,综合,酒店设施差服务差卫生差
酒店,0,晚上到的酒店，大堂灯都关了，来客人还舍不得开，打手电开的房，绝了！前脚刚进房间后脚按摩电话就打进来，牛叉！社会主义好啊！,正面,服务,酒店服务热情周到
酒店,0,位置离车公庙地铁站很近， 前台服务态度很好，但是效率太慢，入住时要10多分钟， 退房也要5分钟， 实在需要改善。早餐种类太少，以此早餐价实在是太不化算。房间设施没有刮胡刀，也没有润肤液，深圳此价位的酒店大多都有，同价位的酒店选择也很多，无必要再选这间。,负面,综合,服务效率低设施少不划算
洗发水,1,清扬洗发水收到了，有活动买的满99返50，太合适了！比在超市买还便宜了！送货师傅及时送货！太感谢了！以后就来京东了！,正面,综合,活动划算送货快感谢
酒店,0,"给父母订的~回来说房间远不及盛华的,早餐也不行.唯一好的就是在风景区内了~",负面,综合,房间差早餐差风景好
水果,0,一点都不值，小的不知怎么说了，市场才十块两个,负面,价格,价格太低不值
衣服,1,买3免1抢的，非常划算，质量还可以,正面,综合,买三免一划算质量好
洗发水,1,东西是正品蛮好的，第一次用京东，服务好送货快！而且快递小哥大中午的那么热还亲自送到家门口！比某某网站快递公司快递员好百倍千倍。。,正面,服务,正品好服务佳送货快
蒙牛,1,好喜欢蒙牛的新包装！！！,正面,综合,喜欢蒙牛新包装
酒店,1,标准的商务酒店，最大的优点就是位置好。房间比较干净，设施还行，但有些细节还需要改进。楼层服务员很不错（上次住的6楼，在这里表扬一下这位服务员），收拾房间，做清洁很及时，认真，走的时候有东西忘了，追了我好长一段距离告诉我。最近浦东大道修路，附件象个打工地。,正面,综合,位置好服务佳细节待改进
洗发水,0,怀疑是否买到是假货 洗后头发打结 发质粗硬 望京东检测,负面,质量,怀疑假货洗后打结
洗发水,0,京东的用户体验越来越差，每次快递都不送货上门，需要自己去取……再也不想用京东了,负面,物流,京东快递体验差
酒店,1,国庆期间携程特价入住该酒店豪华房，这是第一次入住沈阳的该酒店，以前一直入住青年公园附近的凯宾斯基，有以下几点印象——1、从硬件设施来讲，黎明酒店非常不错，和凯宾斯基有一比，比我们上海的五星酒店的硬件都要好，特别是卫生间，明亮、宽敞、干净；2、虽然环境略显荒凉，但距离沈阳的中街商业区步行也只需25分钟，交通很方便；3、从软件来讲，携程预定时标明房间的宽带是免费的，可是入住后发现要收费，随即与携程取得联络，告知免费（这里表扬一下携程，有职业操守！很好！）；4、不过入住酒店后发生了一件本来很不愉快地经历，让我差一点从此放弃日后入住该酒店；由于我的老父亲头发乌过了，因此，弄脏了酒店的枕套，客房清理人员随即让我赔偿50元，这是我第一次入住五星级酒店让我赔偿，在结账时告知了前台，并打算把那个天价枕套拿走留个纪念，也许前台的小姐也觉得实在不好意思，随即不知道和谁打了电话，告知不用赔偿了，并诚恳地向我表示希望下次继续入住黎明酒店。我这里并不是说这区区50元，只是这50元背后显示了酒店的服务意识和服务理念。沈阳的经济虽然落后，但服务行业的服务态度普遍不好，但这次入住黎明酒店使我明显感觉到了沈阳这个最大的东北城市的服务意识与服务态度的提高。相比较而言，服务行业服务最好的城市当首数深圳市，就连上海都没法和深圳比，但尽管如此，上海仍然可以排在第二位，但与深圳的服务质量的差距很大；沈阳和北京的服务态度其实差不多，但这次入住黎明，使我感受到了一点不一样，也许我们的老工业基地真的在发生巨变。希望如此！再多说一句，服务行业，服务的态度和质量是服务行业的生命！通过这次入住，赞扬携程、赞扬黎明酒店。,正面,综合,赞扬酒店服务与设施
酒店,0,很一般。性价比很差。跟上海的快捷酒店相比，价格贵，服务差；外面空气不错。但是内部装修亟待改善；窗户的高度太低，不小心会摔下去；令人匪夷所思的是，订的是大床房，但是床却是坏的；感觉很不好。,负面,综合,性价比低服务差装修差
平板,1,不错儿子非常满意喜欢,正面,综合,儿子非常满意喜欢
衣服,0,褪色严重，只想说价格欺骗…………,负面,价格,褪色严重价格欺骗
平板,0,分辨率太低，相素太差了与描述不符。,负面,质量,分辨率低像素差
酒店,0,无论从任何角度讲，该酒店最多只能评为2星级。携程首先推荐该酒店，我认为只有一个原因：酒店的返点最高？补充点评 2008年3月11日 ： 教训！,负面,综合,酒店仅配两星，教训深刻
计算机,0,1：USB，网口，电源口全在左边，不习惯。 2：电源适配器噪声太大，烫手 3：没送鼠标,负面,综合,USB 网口电源口位置不习惯
平板,0,买完没几天就降价，无语。,负面,价格,买完没几天就降价
衣服,0,不知道为什么味道大的不是一点儿半点儿，本来以为洗一下就好了，现在洗了好几遍了还是味道很大,负面,质量,衣服味道大洗不掉
水果,0,都是烂的啊，妈蛋，一看就知道放几个月了,负面,质量,商品质量极差
酒店,1,地理环境不错，但对面一直在盖楼，门前的街道打车不方便。,中性,服务,环境好但打车不便
计算机,0,重了点，镜面屏容易在上盖留下指纹和划痕，送的瑞星杀毒软件报密码不对，不知道咋搞得,负面,质量,屏幕留指纹划痕瑞星软件报错
水果,0,非常非常难吃，又苦又酸，喜欢重口味的可以试试，以后再也不到京东上买水果了,负面,质量,水果难吃又苦又酸
酒店,0,1、车到酒店门口，没找到酒店，原来身边满是脚手架的大楼工地就是酒店，胆战心惊的走入，前台很破旧，很难想象是四星级的酒店。2、我住公寓套房，好像19楼，几部电梯只有一步到达，换了隔壁电梯才行，楼上走道昏暗，长长走廊，只有一两盏灯，，一出电梯眼睛要过一会儿才能看清东西，太省钱了吧。3、上午入住，电钻声不断，楼下房间原来在装修，携程也不事先告知，我晕！！！4、客厅较大，但太空了，只有沙发，却没有电视机，原来是叫人坐那里发呆的。5、洗澡没热水，一问，原来不是统一热水，而是电淋浴器，烧一桶要好长时间，一个晚上到第二天早上也没有热水出来，服务员说不知道为啥这样，四星级的无热水待遇，澡当然没洗，退房时心理和身上都发痒....6、口渴了烧水喝，电热水壶也坏的，打电话要换一个，说库房下班了，那是晚上八点多吧，从哪里变不出来一个？其他没人住的房间，你们经理的办公室...总能解决吧，不行烧一壶水上来也行啊，可他们就不理你，我只能跑到街上买水喝了！！7、所有家具设备都是陈旧的我想大家也会理解我的感受，我平时住店一般会先来看看众兄弟的网评，不好决不敢住。这次行程匆忙，是在路上电话预订的，酒店是携程反复向我推荐的，我才上了当，如果携程以后光注重经济效益而不注重酒店本身的品质，推荐这样的酒店，我看是要砸牌子的，毕竟你们也有竞争者的。补充点评 2007年5月2日 ： 再补充一点，宽带速度“奇快”，两个笔记本上网，一个酒店宽带，一个CDMA掌上宽带拨号上网，在联众打游戏，有线的网速还比不过无线的，还掉了几次线，送了人家好多分，呜呜...,负面,综合,酒店设施陈旧服务差
酒店,1,第二次入住，蛮好的酒店。总的来说。在国内算不错的公寓式酒店。,正面,综合,第二次入住体验不错
水果,0,这是什么苹果 我这么文明的人真想爆粗口 这还怎么吃 买了一个星期 才到 这物流真是醉了 再也不买你家的苹果了 恶心 弄几个破苹果 放的箱子里给我送过来了 草尼吗的,负面,物流,物流太慢且苹果质量差
洗发水,1,这次购买的是套装，参加活动后力度还是比较大的。,正面,综合,套装活动力度大
书籍,1,她的诗，看似平凡却美丽无比，看是平淡却可以引起你内心的共鸣！多么奇妙的事啊，竟会如此，看了她的诗作后，我的心灵感到从未有过的宁静，我的心不在寂寞……千言万语都无法道尽我对它的喜爱，我因它而疯狂地想读更多的诗，我因它而无比地喜欢诗，我甚至喜欢上自己些诗，从此，我感觉我的生活也可以如此诗意，我的人生也会因此而增色不少。感谢有你。,正面,综合,喜爱诗作带来心灵宁静
书籍,0,为什么不认真的检查一下， 发这么一本脏脏的书给顾客呢！,负面,质量,发脏书给顾客
书籍,0,我觉得这本书完全不适合我，看完了也影响不了我的一生,负面,质量,书不适合我
酒店,1,酒店的房间太小了，一点没有5星酒店的感觉。前台给人的感觉好像是3星酒店。不过服务员的态度还是很好的！,负面,综合,房间小无五星感
计算机,1,电池好，屏幕好 漂亮 实测上网、聊天的话可以坚持6个半小时，还不错,正面,质量,电池屏幕好体验佳
酒店,1,早餐是中式，有些东西很奇怪。住店停车还收费，不应该。,负面,服务,停车收费不合理
平板,1,送了这么久了，不错的。支持华为,正面,综合,支持华为不错
洗发水,0,第一次买，冲着资生堂的牌子来的，结果好失望啊，相当不好，洗了感觉头发都油乎乎的，比没洗还糟糕，都不知道是质量问题还是非正品，好郁闷啊！,负面,质量,头发洗后更油怀疑非正品
酒店,0,"这个店太差房间有霉味,最不能忍受的是前台工作效率极低极低!",负面,服务,房间霉味前台效率低
衣服,0,真该相信差评里说的，没想到掉色掉的无与伦比。买回来没穿就发现掉色，洗了之后觉得应该没事了，没想到，脚从裤筒里伸出来时脚都黑了?,负面,质量,裤子掉色严重脚变黑
手机,0,不支持全屏播放；摄像头没有提供闪光灯的支持；TF存储卡不支持热插拔；不支持蓝牙传输功能。,负面,综合,不支持多项功能
洗发水,0,买了就降价，还618,负面,价格,降价后购买不满
洗发水,1,第四次购买了，很好用。 相信京东,正面,综合,第四次购买很好用
衣服,0,真心很难看。。。。,负面,综合,商品外观很难看
水果,1,份量正好，苹果的尺寸与描述的一样，个不大，75mm确实没多大。糖分高，但因保存时间有点长了，水分散发了些，没有那么脆了。包装很好，有两层网套着，即便有空隙也没有一个搁坏的。送货很及时，头天订货第二天就收到。,正面,综合,份量足包装好送货快
酒店,0,走廊上极噪 估计是乌合之众的住所 根本没睡好 害得我考试时候晕糊糊的,负面,综合,走廊噪音大影响睡眠
衣服,1,裤子其实不错 合身 店家服务态度也很好 五星好评,正面,综合,裤子合身服务好评
洗发水,1,我一直在用这个牌子，但是在京东购买还是第一次，看上去还可以，还没用等用了再追加评论,中性,综合,首次京东购买待体验
洗发水,1,我喜欢在京东上买东西，尤其是京东的自营店，今天下单，明天就能收到货，不用焦急的等待发货，不用时不时的就查看物流信息，京东的送货员更加要给他们点赞，服务很OK，东西都是要送到本人手上的，很让人放心！相信京东的东西都是正品，会一如既往的来光顾的！,正面,服务,京东送货快服务好
